;;;;CONGREGAÇÃO CRISTÃ NO BRASIL;;;;;;;;;;;;;;;;;;;;;;Folha 1 / 1;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RUA DAS SUCUPIRAS , 1690;;;;;ADM - SINOP - MT;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;CNPJ 14969083000136 - IE ISENTO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Relatório de Bens Imobilizado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Posição;;;21/09/2025;;;;Subgrupo;;* Todos *;;;;;Fornecedor;;;* Todos *;;;;;;;Código de Bem;;;;;;* Todos *;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Nota Fiscal;;; - ;;;;;;;;;;;;;;;
;Localidade;;BR 09-0040 - SIBIPIRUNAS;;;;Conta;;* Todos *;;;;;;;;;;;;;;;;;;;Status;;Ativo, Baixado, Depreciado;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dependência;;* Todos *;;;;Produto;;* Todos *;;;;;Código Entre;;;090040;;;;;;;Agrupado por;;;;;; - ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código;;;Nome;;;Fornecedor;;;;Localidade;Conta;;Nº Documento;;Dependência;;;;Dt. Aquisição;;Vl. Aquisição;Vl. Deprec.;;;;;Vl. Atual;;;;Status;
09-0040 / 000001;;;60 - CONSTRUÇÃO EDIFICACAO E ALVENARIA (CONSTRUCAO);;;NC;;;;BR 09-0040;1100;;0;;TEMPLO;;;;31/12/2006;;4.549,94;1.897,02;;;;;2.652,92;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0040 / 000002;;;70 - REFORMA EDIFICACAO E ALVENARIA (REFORMA);;;NC;;;;BR 09-0040;1100;;0;;TEMPLO;;;;31/12/2011;;176.727,23;73.671,50;;;;;103.055,73;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0040 / 000003;;;56 - EXTINTOR EXTINTOR DE PO BC 8 KG;;;NC;;;;BR 09-0040;1101;;0;;SALÃO DE CULTO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0040 / 000004;;;56 - EXTINTOR EXTINTOR DE CO2 06 KG;;;NC;;;;BR 09-0040;1101;;0;;SALÃO DE CULTO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0040 / 000005;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0040;1101;;0;;SALÃO DE CULTO;;;;31/12/2006;;1,00;0,92;;;;;0,08;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
