;;;;CONGREGAÇÃO CRISTÃ NO BRASIL;;;;;;;;;;;;;;;;;;;;;;Folha 1 / 1;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RUA DAS SUCUPIRAS , 1690;;;;;ADM - SINOP - MT;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;CNPJ 14969083000136 - IE ISENTO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Relatório de Bens Imobilizado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Posição;;;10/12/2025;;;;Subgrupo;;* Todos *;;;;;Fornecedor;;;* Todos *;;;;;;;Código de Bem;;;;;;* Todos *;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;* Todos *;;;;;Nota Fiscal;;; - ;;;;;;;;;;;;;;;
;Localidade;;* Todos *;;;;Conta;;;;;;;;;;;;;;;;;;;;;Status;;Ativo, Depreciado, Baixado;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dependência;;* Todos *;;;;Produto;;* Todos *;;;;;Código Entre;;;-;;;;;;;Agrupado por;;;;;; - ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código;;;Nome;;;Fornecedor;;;;Localidade;Conta;;Nº Documento;;Dependência;;;;Dt. Aquisição;;Vl. Aquisição;Vl. Deprec.;;;;;Vl. Atual;;;;Status;
09-0038 / 000001;;;70 - REFORMA EDIFICACAO E ALVENARIA REFORMA;;;NC;;;;BR 09-0038;1100;;0;;TEMPLO;;;;31/12/2011;;900,00;384,18;;;;;515,82;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000002;;;70 - REFORMA EDIFICACAO E ALVENARIA REFORMA;;;NC;;;;BR 09-0038;1100;;0;;TEMPLO;;;;31/12/2015;;32.346,67;13.807,48;;;;;18.539,19;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000003;;;4 - CADEIRA CADEIRA TRIBUNA ALMOFADADA PULPITO;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000004;;;4 - CADEIRA CADEIRA TRIBUNA ALMOFADADA PULPITO;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000006;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;0,98;;;;;0,02;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
